(jemanden) einlassen,(jemanden) erledigen
(jemanden) eintreten lassen,(jemanden) fertigmachen
(jemanden) hereinlassen,(jemanden) geben
(jemanden) sehen,(jemanden) grillen
(jemanden) treffen,(jemanden) kaputtmachen
(jemanden) unterhalten,(jemanden) kündigen
(jemanden) versorgen,(jemanden) loswerden
(jemanden) vorlassen,(jemanden) schulen
(jemandes ganzes) Dichten und Trachten,(jemanden) zur Strecke bringen
(jemandes) Leute,(jemandes ganzes) Dichten und Trachten
(jemandes) rechte Hand,(jemandes) Arbeit
(kurze) Pause,(jemandes) Bedarf ist gedeckt
(mach) schnell!,(jemandes) Tätigkeit
(mit jemandem) konkurrieren,(jemandes) Zeit in Anspruch nehmen
(mit jemandem) zusammen,(jemandes) erste Lebensjahre
(na los) Bewegung!,(jetzt) gleich
(na) wird's bald?,(junges) Ding
(nur) mal angenommen,(klar) auf der Hand liegen
(persönlicher) Referent,(kunstgerecht) machen
(probeweise) annehmen,(künstlerische) Arbeit
(regelmäßig / oft) besuchen,(lässig ...) vorgetragen
(rum)krosen,(mal) anrufen
(sehr) einfach,(mal) durchklingeln
(sehr) engagiert,(offiziell) melden
(sehr) leicht,(periodische) Wiederkehr
(sehr) nah,(plötzlich) nicht mehr da
(sein) Einverständnis erklären,(rein) geistig
(seine) Aufgabe darin sehen,(restlos) ausverkauft
(seine) Bereitschaft erklären,(schnell) erledigen
(seine) Stimme erheben,(schriftliche) Arbeit
(seinen) Dank ausdrücken,(schriftliche) Darstellung
(seinen) Dank bekunden,(schriftliche) Hausarbeit
(seinen) Dank äußern,(seine / ihre) ganze Energie einsetzen
(seinen) Hut in den Ring werfen,(seine) Aufgabe darin sehen
(seinen) Nutzen ziehen (aus),(seinen Verletzungen) erlegen
(sich einer Sache/jemandem) zuwenden,(sich etwas) auf die Fahnen schreiben
(sich einer Sache/jemandes) annehmen,(sich etwas) vornehmen
(sich etwas) einbilden,(sich etwas) zu Herzen nehmen
(sich etwas) zu Herzen nehmen,(sich jemandes) entledigen
(sich etwas) zu Nutze machen,(sich) (alle) Mühe geben
(sich etwas) zu eigen machen,(sich) (echt) bemühen (um)
(sich etwas) zunutze machen,(sich) (einer Sache) befleißigen
(sich gedanklich) eingehend (beschäftigen mit),(sich) (etwas) angelegen sein lassen
(sich jemandes) annehmen,(sich) (neu) einbürgern
(sich jetzt einer Sache) widmen,(sich) (richtig) Mühe geben
(sich) (alle) Mühe geben,(sich) (richtig) reinhängen
(sich) (einer Sache) befleißigen,(sich) Arme und Beine ausreißen
(sich) (etwas) angelegen sein lassen,(sich) Mühe geben
(sich) (förmlich) aufdrängen,(sich) Streichhölzer zwischen die Augen(lider) klemmen
(sich) (jetzt) befassen mit,(sich) Ziele setzen
(sich) (jetzt) konzentrieren auf,(sich) Ziele stecken
(sich) (jetzt) kümmern um,(sich) alle Mühe geben
(sich) Hoffnungen machen (auf),(sich) anschicken
