Lebensort,Bildungsort
nicht zuhören,Kleinod
nichts als,Klippschule
nichts weiter als,Klopper
nichtsdestominder,Knuddelbär
nichtsdestotrotz,Knuddelmaus
nichtsdestoweniger,Knufelbär
nie allein,Knuffel
niemand kümmert sich um,Knuffelchen
nur,Knuffelschatzi
nur (mal) als Beispiel,Kollektiv
nächtigen,Kolonne
nämlich,Koma
ohne Frau,Kommando
ohne Limit,Kommunikation
ohne Mann,Komplettierung
ohne Partner,Konflikte
ohne Partner (lebend),Konnex
ohne Partnerin,Konsistenz
ohne Unterbrechung,Konsultation
ohne Unterschied,Kontakt
ohne Vorbedingung,Kontrolle
ohne Vorbehalt,Konzern
ohne Weiteres,Kooperation
ohne Wenn und Aber,Koppel
ohne abzusetzen,Kost
ohne feste Bindung,Kostbarkeit
ohne weiteres,Krach
paarweise,Kraft
par exemple,Krankheitserkennung
partnerlos,Kreation
partnerschaftlich,Kreis
pennen,Kreise
per exemplum,Kriterium
plus,Kronjuwel(en)
pofen,Kränzchen
ratzen,Kulturhauptstadt 2010
residieren,Kurs
rettungslos (verliebt),Kursleiter
ruhen,Kurzweil
räumlich,Kuschelbär
rückhaltlos,Kuschelbärchen
sagen wir mal (vorangestellter Einschub),Kuschelhase
schier,Kuschelmaus
schier (Adjektiv),Kuschelmäuschen
schlafen,Kuschelschnuppe
schlicht und einfach,Kuscheltiger
schlicht und ergreifend,Kuschli
schließlich,Kätzchen
schlummern,Körperschaft
schnarchen,Küchen-...
schon (allein),LTBW
sehr allein,Lachen
selber,Lager
selbst,Landplage
selbständig,Lassitudo
sexuelle Beziehung,Lebensabschnittsgefährtin
siamesische Zwillinge,Lebensgefährtin
sicher,Lebensmittel
sicherer Ort,Lebenspartnerin
sicherlich,Lehr- und Wanderjahre
sitzen geblieben,Lehranstalt
so (etwa),Lehre
solidarisch,Lehrer
solo,Lehrers Liebling
sowie,Lehrkraft
sowohl,Leistungsnachweis
sowohl ... als auch,Leistungsüberprüfung
strategische Partnerschaft,Leitbild
ständiger Begleiter,Leitfaden
summa summarum,Leitlinie
total,Lektion
trotz alledem,Lernanstalt
trotz und allem,Lernerfolgskontrolle
trotzdem,Leute!
unanim,Liebchen
unaufmerksam sein,Liebesbeziehung
unbefangen,Liebesfreundschaft
unbegrenzt,Liebesgöttin
unbemannt,Liebesperle
unbeschränkt,Liebhaber
unbeweibt,Liebling
und,Liebste(r)
und sei es nur,Linie
uneingeschränkt,Lob
ungeachtet dessen,Lorbeeren
ungebunden,Lover
ungefährdet,Lulle
unlimitiert,Lunte
unter der Haube,Lust
untergebracht sein,Lustbarkeit
unterm Strich,Lösung
unverehelicht,Lücke
unverheiratet,Macht
unvermählt,Machtausübung
unzertrennlich,Machtfülle
verbunden,Mahl
verbündet,Mahlzeit
verehelicht,Mann ihres Herzens
vereint,Mannigfaltigkeit
vergeben,Manufakt
verheiratet,Markup
vermählt,Marschrichtung
vom Stamm der,Masche
von Gott und allen guten Geistern verlassen,Match
vorbehaltlos,Material
väterlich,Matrix
warm und trocken (sitzen),Maus
weil,Mausbär
wenigstens,Mausi
wie,Maßgabe
wie auch,Maßgeblichkeit
wie auch immer,Maßregelung
wie ein Einsiedler,Medikament
wie ein Eremit,Medizin
wie etwa,Meinung
wie noch,Meister
wie zum Beispiel,Menge
wo,Mentoring
wo wir schon mal dabei sind (...),Meute
wohlbehütet,Mikrostruktur
wohnen,Misshelligkeiten
z. B.,Mitarbeit
zu,Miteinander
zu Hause,Miteinander-Klarkommen
"zu dem Zeitpunkt, als",Mithilfe
zu diesem Zeitpunkt,Mithilfe (bei)
zu zweit,Mitschüler
zufolge,Mittel
zugegeben,Mobbing
zugegebenermaßen,Montagegruppe
zugleich,Moralpredigt
zuhause,Motivation
zum Beispiel,Multi-Kulti
zum Exempel,Multikulti
zumindest,Multikulturalismus
zurückgezogen,Musik dahinter
zusammen,Musik machen
zusammen (mit),Musikgruppe
zusammenhaltend,Musikkapelle
zusammenstehend,Muss
zuzüglich,Muster
zwar (...) doch,Musterknabe
zwei Fliegen mit einer Klappe schlagen,Musterschüler
übernachten,Mythos
,Mächtigkeit
,Märtyrer
,Mäuschen
,Mäusle
,Möchtegern-
,Möchtegern-Star
,Nachhilfe
,Nachhilfeunterricht
,Nachsitzen
,Nachweis
,Nahrung
,Nahrung aufnehmen
,Nahrungsmittel
,Neigung
,Nervenanspannung
,Nervensäge
,Nervosität
,Nervtöter
,Neugier
,Neugierde
,Neuner
,Newsgroup
,Newsgruppe
,Niedergeschlagenheit
,Nonsens
,Noten
,Notenheft
,Notiz
,Nötigung
,O. K.
,Oberbau
,Oberschule
,Objekttyp
,Offenheit
,Opprobration
,Orchestermaterial
,Order
,Ordnung
,Ordnungsruf
,Organisation
,Organismus
,Orientierung
,Palette
,Partie
,Partitur
,Partnerin
,Pauker
,Pause
,Penne
,Perlchen
,Pharmakon (Plural = Pharmaka)
,Pharmazeutikum
,Pilotphase
,Plagegeist
,Plansoll
,Planung
,Pointe
,Posse
,Potenz
,Power
,Preis
,Pression
,Prestige
,Primus
,Priorisierung
,Probe
,Probleme
,Produkt
,Programm
,Programmatik
,Programmierung
,Progress
,Progression
,Proposition
,Provenienz
,Proviant
,Provinz-...
,Präparat
,Prüfung
,Prüfung (christl.-relig.)
,Psychoorganisches Syndrom
,Psychoterror am Arbeitsplatz
,Pulk
,Puschi
,Puschibär
,Pyro
,Pädagoge
,Pädagogiker
,Püppchen
,Püppi
,Qualen leiden
,Qualität
,Quantensprung
,Querkopf
,Querschläger
,Quertreiber
,Quälgeist
,Rang
,Ranzen
,Rat
,Ratschlag
,Realisierung
,Rechtswidrigkeit
,Referenz
,Referenzschreiben
,Registration
,Registratur
,Registrierung
,Reifung
,Reihe
,Rektor
,Relation
,Relevanz
,Remedium
,Renommee
,Repertoirestück
,Respekt
,Restriktion
,Richtlinie
,Richtmarke
,Richtschnur
,Richtung
,Riese
,Riesenerfolg
,Rotte
,Rubrik
,Rucksack
,Rudel
,Ruhestörer
,Runde
,Rückendeckung
,Rückenwind
,Rückhalt
,Rücksicht
,Rüffel
,Rüge
,Sahne
,Sand im Getriebe
,Sargnagel
,Satz
,Schabernack
,Schar
,Schatz
,Schatzi
,Schatzimaus
,Schatzimausi
,Schauspiel
,Schelte
,Schererei(en)
,Scherz
,Schicht
,Schicksalsschlag
,Schikane
,Schildbürgerstreich
,Schimpfe
,Schlag
,Schlagwort
,Schluss
,Schmackes
,Schmerzen haben
,Schmu machen
,Schmuckstück
,Schnack
